nom;id;url;daily_price;weekly_price;description;img_link;tag_list;img_id;title_nl;text_nl
CHARIOT TÉLESCOPIQUE ROTATIF, 21 M, 5 TONNES;13770.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques-rotatifs/chariot-telescopique-rotatif-21-m-5-tonnes;p.s.d.;p.s.d.;Stabilisateurs ciseaux et nivellement automatiqueDisponible avec nacelle, treuil, JIB avec treuil et fourches à palettesRotatif en continu à 360°;https://www.boels.be/assets/modules/products/chariot_telescopique_rotatif_21_m_5_tonnes_big_1.jpg;;https@__www.boels.be_assets_modules_products_chariot_telescopique_rotatif_21_m_5_tonnes_big_1.jpg;;
CHARIOT TÉLESCOPIQUE ROTATIF, 25 M, 5 TONNES;13771.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques-rotatifs/chariot-telescopique-rotatif-25-m-5-tonnes;p.s.d.;p.s.d.;Stabilisateurs ciseaux et nivellement automatiqueDisponible avec nacelle, treuil, JIB avec treuil et fourches à palettesRotatif en continu à 360°;https://www.boels.be/assets/modules/products/chariot_telescopique_rotatif_25_m_5_tonnes_big_1.jpg;;https@__www.boels.be_assets_modules_products_chariot_telescopique_rotatif_25_m_5_tonnes_big_1.jpg;ROTERENDE VERREIKER, 25 METER, 5 TON;Schaarstabilisatoren en automatische nivelleringLeverbaar met manbak lier, JIB met lier en palletvorken360° continu roteerbaar
CHARIOT TÉLESCOPIQUE ROTATIF, 18 M, 4 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques-rotatifs/chariot-telescopique-rotatif-18-m-4-tonnes;p.s.d.;p.s.d.;Stabilisateurs ciseaux et nivellement automatiqueDisponible avec nacelle, treuil, JIB avec treuil et fourches à palettesRotatif à 400°ONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_telescopique_rotatif_18_m_4_tonnes_big_1.jpg;;https@__www.boels.be_assets_modules_products_chariot_telescopique_rotatif_18_m_4_tonnes_big_1.jpg;;
CHARIOT TÉLESCOPIQUE ROTATIF, 30 M, 5 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques-rotatifs/chariot-telescopique-rotatif-30-m-5-tonnes;p.s.d.;p.s.d.;Stabilisateurs ciseaux et nivellement automatiqueDisponible avec nacelle, treuil, JIB avec treuil et fourches à palettesRotatif en continu à 360°ONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_telescopique_rotatif_30_m_5_tonnes_big_1.jpg;;https@__www.boels.be_assets_modules_products_chariot_telescopique_rotatif_30_m_5_tonnes_big_1.jpg;;
CHARIOT TÉLESCOPIQUE 4,25 M 1,25 TONNES;80175.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-425-m-125-tonnes;p.s.d.;p.s.d.;;;;;VERREIKER 4,25 M 1,25 TON;
CHARIOT TÉLESCOPIQUE 6 M 2,5 TONNES;13507.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-6-m-25-tonnes;p.s.d.;p.s.d.;Convient pour les terrains accidentés grâce aux 4 roues motricesLivré standard plateau à fourches inclusAvec moteur TIER4fi/ Stage 4;https://www.boels.be/assets/modules/products/chariot_telescopique_6_m_25_tonnes_big_1.jpg; + Transport en véhicule utilitaire + Telematics;https@__www.boels.be_assets_modules_products_chariot_telescopique_6_m_25_tonnes_big_1.jpg;VERREIKER 6 M 2,5 TON;Dankzij 4-wielaandrijving geschikt voor oneffen terreinStandaard geleverd inclusief lepelbordMet TIER4fi/ Stage 4 motor
CHARIOT TÉLESCOPIQUE 7 M 3 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-7-m-3-tonnes;p.s.d.;p.s.d.;Un chariot télescopique conçu pour être utilisé partout. Ses dimensions compactes, sa grande maniabilité, sa robustesse et le confort pour le conducteur sont de série. Même dans les espaces les plus réduits, sur les surfaces les plus lisses et avec la charge la plus lourde, il ne vous décevra pas. Le profil bas du bras et le point de rotation bas du bras permettent, avec tous les rétroviseurs, une excellente visibilité arrière.;https://www.boels.be/assets/modules/products/chariot_telescopique_7_m_3_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_telescopique_7_m_3_tonnes_big_1.jpg;;
CHARIOT TÉLESCOPIQUE 9 M 3,5 TONNES;12063.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-9-m-35-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusDisponible avec moteur TIER4i / Stage 3B;https://www.boels.be/assets/modules/products/chariot_telescopique_9_m_35_tonnes_big_1.jpg; + Transport en véhicule utilitaire + Telematics;https@__www.boels.be_assets_modules_products_chariot_telescopique_9_m_35_tonnes_big_1.jpg;VERREIKER 9 M 3,5 TON;Voorzien van load indicatie systeem tegen overbelasting4-wielaandrijving voor gebruik op ruw en oneffen terreinStandaard geleverd inclusief lepelbordVerkrijgbaar met TIER4i / Stage 3B motor
CHARIOT TÉLESCOPIQUE 9,5 M 3,5 TONNES;13775.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-95-m-35-tonnes;p.s.d.;p.s.d.;;;;;VERREIKER 9,5 M 3,5 TON;
CHARIOT TÉLESCOPIQUE 10 M 6 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-10-m-6-tonnes;p.s.d.;p.s.d.;4 roues motrices pour terrain accidentéLivré standard plateau à fourches inclusONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_telescopique_10_m_6_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_telescopique_10_m_6_tonnes_big_1.jpg;;
