;category;sub_category
0;Chariots Télescopiques & Chariots Élévateurs;Chariots télescopiques rotatifs
1;Chariots Télescopiques & Chariots Élévateurs;Chariots télescopiques
2;Chariots Télescopiques & Chariots Élévateurs;Accessoires chariots télescopiques
3;Chariots Télescopiques & Chariots Élévateurs;Chariots élévateurs (diesel)
4;Chariots Télescopiques & Chariots Élévateurs;Chariots élévateurs (batterie)
5;Chariots Télescopiques & Chariots Élévateurs;Chariots élévateurs terrains difficiles (diesel)
6;Chariots Télescopiques & Chariots Élévateurs;Accessoires chariots élévateurs
7;Chariots Télescopiques & Chariots Élévateurs;Transpalettes
8;Chariots Télescopiques & Chariots Élévateurs;Transporter
9;Compresseurs;Compresseurs diesel
10;Compresseurs;Compresseurs électriques
11;Compresseurs;Outillages à air comprimé
12;Compresseurs;Flexibles / périphériques
13;Contrôle climatique;Chauffage diesel
14;Contrôle climatique;Chauffage électrique
15;Contrôle climatique;Chauffage CO2 neutre
16;Contrôle climatique;Chauffage gaz
17;Contrôle climatique;Boilers mobiles / chauffe-eau mobiles
18;Contrôle climatique;Refroidissement
19;Contrôle climatique;Chillers
20;Contrôle climatique;Appareils de traitement de l'air
21;Contrôle climatique;Ventilation / Aspiration
22;Contrôle climatique;Déshumidification
23;Contrôle climatique;Humidification de l'air
24;Contrôle climatique;Assainissement de l'air / gestion de la poussière
25;Contrôle climatique;Accessoires
26;Échafaudages & Échelles;Échafaudages roulants en aluminium
27;Échafaudages & Échelles;Accessoires échafaudage roulant
28;Échafaudages & Échelles;Echafaudages de façade
29;Échafaudages & Échelles;Echafaudages d'intérieur
30;Échafaudages & Échelles;Echafaudages spéciaux
31;Échafaudages & Échelles;Protection antichute
32;Échafaudages & Échelles;Échelles / Escabeaux
33;Élévateurs de Chantier;Monte personnes / Charges
34;Élévateurs de Chantier;Echafaudages de transport
35;Élévateurs de Chantier;Ascenseurs à crémaillère
36;Élévateurs de Chantier;Elévateurs à câbles d’acier
37;Énergie & Éclairage;Groupes électrogènes
38;Énergie & Éclairage;Groupes électrogènes mobiles
39;Énergie & Éclairage;Réservoirs à carburant
40;Énergie & Éclairage;Armoires de distribution
41;Énergie & Éclairage;Câbles
42;Énergie & Éclairage;Pack de batterie
43;Énergie & Éclairage;Transformateurs / Bancs de chargement
44;Énergie & Éclairage;Énergie et éclairage Atex
45;Énergie & Éclairage;Groupes de mâts d’éclairage
46;Énergie & Éclairage;Eclairage
47;Forer & casser;Forets diamantés
48;Forer & casser;Accessoires forets diamantés
49;Forer & casser;Percer
50;Forer & casser;Marteaux piqueurs
51;Géotechnique & Sécurité;Niveaux laser
52;Géotechnique & Sécurité;Lunettes de chantier
53;Géotechnique & Sécurité;Stations Totales (Robotiques)
54;Géotechnique & Sécurité;Ordinateurs de terrain / Tablettes
55;Géotechnique & Sécurité;GPS
56;Géotechnique & Sécurité;Instruments de mesure
57;Géotechnique & Sécurité;Détection
58;Géotechnique & Sécurité;Détection souterraine
59;Géotechnique & Sécurité;Equipement d'égout
60;Géotechnique & Sécurité;Talkies-walkies
61;Géotechnique & Sécurité;Extincteurs d’incendie
62;Géotechnique & Sécurité;Systèmes de détection de proximité
63;Hébergement modulaire;Unités modulaires
64;Hébergement modulaire;Sanitaire
65;Hébergement modulaire;Conteneurs de stockage
66;Hébergement modulaire;Evénements
67;Hébergement modulaire;Accessoires
68;Hébergement modulaire;Unités mobiles
69;Hébergement modulaire;Mobilier
70;Hébergement modulaire;Aménagement
71;Hébergement modulaire;Écrans LED mobiles
72;Jardin & entretien des plantations;Travail de la terre
73;Jardin & entretien des plantations;Tarières / Clôture
74;Jardin & entretien des plantations;Outillage accumulateurs
75;Jardin & entretien des plantations;Scier / Elaguer
76;Jardin & entretien des plantations;Broyage du bois
77;Jardin & entretien des plantations;Fendre / Scier
78;Jardin & entretien des plantations;Déssoucheuse
79;Jardin & entretien des plantations;Tonte
80;Jardin & entretien des plantations;Entretien du gazon
81;Jardin & entretien des plantations;Désherbage
82;Jardin & entretien des plantations;Soufflage / balayage de feuilles
83;Matériel de Chantier;Alimentation électrique
84;Matériel de Chantier;Alimentation en Lumière / Eau
85;Matériel de Chantier;Clôture construction
86;Matériel de Chantier;Clôture événements
87;Matériel de Chantier;Accessoires clôture grillagée
88;Matériel de Chantier;Protection de sol
89;Matériel de Chantier;Matériel de Support / Coffrage
90;Matériel de Chantier;Matériel pour échafaudages / de Maçonnerie
91;Matériel de Chantier;Protection antichute
92;Matériel de Chantier;Tours d'escaliers
93;Matériel de Chantier;Logistique
94;Matériel de Chantier;Evacuation des déchets
95;Matériel Ferroviaire;Meuleuses
96;Matériel Ferroviaire;Tirefonneuses
97;Matériel Ferroviaire;Foreuses / Visseuses
98;Matériel Ferroviaire;Equipements spéciaux
99;Matériel Ferroviaire;Transport
100;Matériel Ferroviaire;Divers
101;Matériel Ferroviaire;Elévateurs à nacelle
102;Nacelles Élévatrices;Monte-personnes
103;Nacelles Élévatrices;Nacelles à ciseaux (batterie)
104;Nacelles Élévatrices;Nacelles à ciseaux (diesel)
105;Nacelles Élévatrices;Nacelles à bras télescopique
106;Nacelles Élévatrices;Nacelles à bras articulé télescopique
107;Nacelles Élévatrices;Nacelles araignées
108;Nacelles Élévatrices;Nacelles élévatrices tractables
109;Nacelles Élévatrices;Nacelles sur véhicule
110;Nettoyage;Nettoyer
111;Nettoyage;Aspiration
112;Nettoyage;Nettoyage
113;Nettoyage;Nettoyeurs haute pression
114;Nettoyage;Déboucher
115;Nettoyage;Grenaillage/sablage
116;Nettoyage;A la vapeur
117;Peinture & Décoration;Peinture
118;Peinture & Décoration;Tapissage
119;Pompes;Pompes pour eaux usées
120;Pompes;Pompes à immersion
121;Pompes;Pompes de rabattement
122;Pompes;Autres pompes
123;Pompes;Flexibles
124;Pompes;Accessoires
125;Pompes;Obturateurs d'égout
126;Sanitaire;Evénements
127;Sanitaire;Bâtiment
128;Sécurité;Surveillance
129;Sécurité;Contrôle d'accès
130;Panneaux de signalisation;HomeLouerTechnique de CirculationPanneaux de signalisation
131;Technique de Levage;Protection antichute
132;Technique de Levage;Cages de travail
133;Technique de Levage;Systèmes de spreader
134;Technique de Levage;Palans
135;Technique de Levage;Treuils
136;Technique de Levage;Pinces
137;Technique de Levage;Systèmes de levage par aspiration
138;Technique de Levage;Portiques de levage
139;Technique de Levage;Minigrues / grues
140;Technique de Levage;Vitrerie
141;Technique de Levage;Monte-matériaux
142;Technique de Levage;Levage de matériaux
143;Technique de Levage;Coussins de levage
144;Technique de Levage;Crics hydrauliques
145;Technique de Levage;Lève-machines / Chariots
146;Technique d’installation;Équipement de soudage
147;Technique d’installation;Appareil de filetage
148;Technique d’installation;Outillage de plomberie
149;Technique d’installation;Travail du métal
150;Technique d’installation;Clés dynamométriques et clés à choc
151;Technique d’installation;Outillages Atex
152;Technique d’installation;Outillage
153;Technique d’installation;Isoler
154;Terrassement;Pelleteuses
155;Terrassement;Accessoires pelleteuses
156;Terrassement;Chargeuses sur roues
157;Terrassement;Accessoires chargeuses sur roues
158;Terrassement;Minichargeuses / Chargeuses sur chenilles
159;Terrassement;Accessoires minichargeuses/chargeuses sur chenilles
160;Terrassement;Tombereaux sur chenilles
161;Terrassement;Tombereaux sur roues
162;Terrassement;Compactage
163;Terrassement;Compacteurs
164;Terrassement;Compacteurs d’asphalte
165;Terrassement;Machine à asphalter
166;Terrassement;Equipements spéciaux
167;Terrassement;Canons brumisateurs
168;Transport;Remorques bâchées
169;Transport;Remorques à benne/plateau
170;Transport;Transporteurs
171;Transport;Remorques spéciales
172;Transport;Site carriers
173;Transport;Matériel de déménagement
174;Travail du Béton et de la Pierre;Scier / Meuler
175;Travail du Béton et de la Pierre;Scies pour asphalte / béton
176;Travail du Béton et de la Pierre;Scie à carreaux / de table
177;Travail du Béton et de la Pierre;Rénovation de sols
178;Travail du Béton et de la Pierre;Gestion de la poussière
179;Travail du Béton et de la Pierre;Tailler
180;Travail du Béton et de la Pierre;Mélanger / Malaxer
181;Travail du Béton et de la Pierre;Couler du béton
182;Travail du Béton et de la Pierre;Finition du béton
183;Travail du Béton et de la Pierre;Boucharder
184;Travail du bois;Sciage
185;Travail du bois;Raboteuses / Fraiseuses
186;Travail du bois;Ponçage
187;Travail du bois;Fixation
