;id;nom;adresse;commune;telephone
0;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Plan-It ;Chaussee de Liege 539;5100 Jambes;+32 (0)81-331121
1;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Schaerbeek;Av. Urbain Britsier 38;1030 Schaerbeek;+32 (0)22-410934
2;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Berchem St Agathe;Av. Charles Quint 420;1080 Berchem;+32 (0)24-659984
3;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Auderghem;Bd. du Souverain 240;1160 Auderghem;+32 (0)26-729080
4;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Drogenbos;Avenue P. Gilson 203;1620 Drogenbos;+32 (0)2-377 76 32
5;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Kraainem;Wezenbeeklaan 114;1950 Kraainem;+32 (0)27-315654
6;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Zaventem;Weijveldlaan 29;1930 Zaventem;+32 (0)27-204977
7;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Plan It Ternat;Morrettestraat 11;1740 Ternat;+32 (0)2-4569010
8;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Waterloo;Drêve Richelle 12;1410 Waterloo;+32 (0)23-549024
9;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Plan-it Waterloo;Ch. De Charleroi 581;1410 Waterloo;+31 (0)2 354 90 24
10;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Zemst;Zemstsesteenweg 199;1980 Zemst;+32 (0)15-421943
11;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Clabecq;Rue de Clabecq 99;1480 Clabecq;+32 (0)23-556659
12;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Bierges;Rue J. Wauters 90;1301 Bierges;+32 (0)10-228788
13;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Aalst;Pierre Corneliskaai  16a;9300 Aalst;+32 (0)53605180
14;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Ottignies;Rue de Douaire;1340 Ottignies;+32 (0)10-416060
15;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Korbeek-Lo;Vlinderlaan 1B;3360 Korbeek-Lo;+32 (0)16-463303
16;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Genappe;Chaussee de Bruxelles 4a-RN5;1470 Genappe;+32 (0)67-790329
17;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Soignies;Chemin de la Guelenne 1;7060 Soignies;+32 (0)67-347740
18;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Lier;Lintsesteenweg 4;2500 Lier;+32 (0)34-808750
19;2ec91c74-abc4-df11-a9e3-00101863c8d6;Brico Wilrijk;Kernenergiesstraat 52;2610 Wilrijk;+32 (0)3-8203660
